base_word,case,plurality,inflection
основатель,GEN,SG,['основателя']
основатель,GEN,PL,['основателей']
основатель,DAT,SG,['основателю']
основатель,DAT,PL,['основателям']
основатель,INS,SG,['основателем']
основатель,INS,PL,['основателями']
основатель,ESS,SG,['основателе']
основатель,ESS,PL,['основателях']
вождь,ACC,SG,['вождя']
вождь,NOM,SG,['вождь']
вождь,NOM,PL,['вожди']
вождь,GEN,SG,['вождя']
вождь,GEN,PL,['вождей']
вождь,DAT,SG,['вождю']
вождь,DAT,PL,['вождям']
вождь,INS,SG,['вождём']
вождь,INS,PL,['вождями']
вождь,ESS,SG,['вожде']
вождь,ESS,PL,['вождях']
переводчик,ACC,SG,['переводчика']
переводчик,NOM,SG,['переводчик']
переводчик,NOM,PL,['переводчики']
переводчик,GEN,SG,['переводчика']
переводчик,GEN,PL,['переводчиков']
переводчик,DAT,SG,['переводчику']
переводчик,DAT,PL,['переводчикам']
переводчик,INS,SG,['переводчиком']
переводчик,INS,PL,['переводчиками']
переводчик,ESS,SG,['переводчике']
переводчик,ESS,PL,['переводчиках']
журналист,ACC,SG,['журналиста']
журналист,NOM,SG,['журналист']
журналист,NOM,PL,['журналисты']
журналист,GEN,SG,['журналиста']
журналист,GEN,PL,['журналистов']
журналист,DAT,SG,['журналисту']
журналист,DAT,PL,['журналистам']
журналист,INS,SG,['журналистом']
журналист,INS,PL,['журналистами']
журналист,ESS,SG,['журналисте']
журналист,ESS,PL,['журналистах']
офицер,ACC,SG,['офицера']
офицер,NOM,SG,['офицер']
офицер,NOM,PL,['офицеры']
офицер,GEN,SG,['офицера']
офицер,GEN,PL,['офицеров']
офицер,DAT,SG,['офицеру']
офицер,DAT,PL,['офицерам']
офицер,INS,SG,['офицером']
офицер,INS,PL,['офицерами']
офицер,ESS,SG,['офицере']
офицер,ESS,PL,['офицерах']
свидетель,ACC,SG,['свидетеля']
свидетель,NOM,SG,['свидетель']
свидетель,NOM,PL,['свидетели']
свидетель,GEN,SG,['свидетеля']
свидетель,GEN,PL,['свидетелей']
свидетель,DAT,SG,['свидетелю']
свидетель,DAT,PL,['свидетелям']
свидетель,INS,SG,['свидетелем']
свидетель,INS,PL,['свидетелями']
свидетель,ESS,SG,['свидетеле']
свидетель,ESS,PL,['свидетелях']
воин,GEN,SG,['воин']
воин,GEN,PL,['воины']
воин,DAT,SG,['воина']
воин,DAT,PL,['воинов']
воин,INS,SG,['воином']
воин,INS,PL,['воинами']
воин,ESS,SG,['воине']
воин,ESS,PL,['воинах']
фермер,ACC,SG,['фермера']
фермер,NOM,SG,['фермер']
фермер,NOM,PL,['фермеры']
фермер,GEN,SG,['фермера']
фермер,GEN,PL,['фермеров']
фермер,DAT,SG,['фермеру']
фермер,DAT,PL,['фермерам']
фермер,INS,SG,['фермером']
фермер,INS,PL,['фермерами']
фермер,ESS,SG,['фермере']
фермер,ESS,PL,['фермерах']
водитель,ACC,SG,['водителя']
водитель,NOM,SG,['водитель']
водитель,NOM,PL,['водители']
водитель,GEN,SG,['водителя']
водитель,GEN,PL,['водителей']
водитель,DAT,SG,['водителю']
водитель,DAT,PL,['водителям']
водитель,INS,SG,['водителем']
водитель,INS,PL,['водителями']
водитель,ESS,SG,['водителе']
водитель,ESS,PL,['водителях']
гражданин,ACC,SG,['гражданина']
гражданин,NOM,SG,['гражданин']
гражданин,NOM,PL,['граждане']
гражданин,GEN,SG,['гражданина']
гражданин,GEN,PL,['граждан']
гражданин,DAT,SG,['гражданину']
гражданин,DAT,PL,['гражданам']
гражданин,INS,SG,['гражданином']
гражданин,INS,PL,['гражданами']
гражданин,ESS,SG,['гражданине']
гражданин,ESS,PL,['гражданах']
путешественник,ACC,SG,['путешественника']
путешественник,ACC,PL,['путешественников']
путешественник,NOM,SG,['путешественник']
путешественник,NOM,PL,['путешественники']
путешественник,GEN,SG,['путешественника']
путешественник,GEN,PL,['путешественников']
путешественник,DAT,SG,['путешественнику']
путешественник,DAT,PL,['путешественникам']
путешественник,INS,SG,['путешественником']
путешественник,INS,PL,['путешественниками']
путешественник,ESS,SG,['путешественнике']
путешественник,ESS,PL,['путешественниках']
пассажир,ACC,SG,['пассажира']
пассажир,NOM,SG,['пассажир']
пассажир,NOM,PL,['пассажиры']
пассажир,GEN,SG,['пассажира']
пассажир,GEN,PL,['пассажиров']
пассажир,DAT,SG,['пассажиру']
пассажир,DAT,PL,['пассажирам']
пассажир,INS,SG,['пассажиром']
пассажир,INS,PL,['пассажирами']
пассажир,ESS,SG,['пассажире']
пассажир,ESS,PL,['пассажирах']
менеджер,ACC,SG,['менеджера']
менеджер,NOM,SG,['менеджер']
менеджер,NOM,PL,['менеджеры']
менеджер,GEN,SG,['менеджера']
менеджер,GEN,PL,['менеджеров']
менеджер,DAT,SG,['менеджеру']
менеджер,DAT,PL,['менеджерам']
менеджер,INS,SG,['менеджером']
менеджер,INS,PL,['менеджерами']
менеджер,ESS,SG,['менеджере']
менеджер,ESS,PL,['менеджерах']
инженер,ACC,SG,['инженера']
инженер,NOM,SG,['инженер']
инженер,NOM,PL,['инженеры']
инженер,GEN,SG,['инженера']
инженер,GEN,PL,['инженеров']
инженер,DAT,SG,['инженеру']
инженер,DAT,PL,['инженерам']
инженер,INS,SG,['инженером']
инженер,INS,PL,['инженерами']
инженер,ESS,SG,['инженере']
инженер,ESS,PL,['инженерах']
игрок,ACC,SG,['игрока']
игрок,NOM,SG,['игрок']
игрок,NOM,PL,['игроки']
игрок,GEN,SG,['игрока']
игрок,GEN,PL,['игроков']
игрок,DAT,SG,['игроку']
игрок,DAT,PL,['игрокам']
игрок,INS,SG,['игроком']
игрок,INS,PL,['игроками']
игрок,ESS,SG,['игроке']
игрок,ESS,PL,['игроках']
брат,ACC,SG,['брата']
брат,NOM,SG,['брат']
брат,NOM,PL,['братья']
брат,GEN,SG,['брата']
брат,GEN,PL,['братьев']
брат,DAT,SG,['брату']
брат,DAT,PL,['братьям']
брат,INS,SG,['братом']
брат,INS,PL,['братьями']
брат,ESS,SG,['брате']
брат,ESS,PL,['братьях']
адвокат,ACC,SG,['адвоката']
адвокат,NOM,SG,['адвокат']
адвокат,NOM,PL,['адвокаты']
адвокат,GEN,SG,['адвоката']
адвокат,GEN,PL,['адвокатов']
адвокат,DAT,SG,['адвокату']
адвокат,DAT,PL,['адвокатам']
адвокат,INS,SG,['адвокатом']
адвокат,INS,PL,['адвокатами']
адвокат,ESS,SG,['адвокате']
адвокат,ESS,PL,['адвокатах']
полицейский,ACC,SG,['полицейский']
полицейский,NOM,SG,['полицейского']
полицейский,GEN,SG,['полицейскому']
полицейский,INS,SG,['полицейским']
полицейский,ESS,SG,['полицейском']
поэт,ACC,SG,['поэта']
поэт,NOM,SG,['поэт']
поэт,NOM,PL,['поэты']
поэт,GEN,SG,['поэта']
поэт,GEN,PL,['поэтов']
поэт,DAT,SG,['поэту']
поэт,DAT,PL,['поэтам']
поэт,INS,SG,['поэтом']
поэт,INS,PL,['поэтами']
поэт,ESS,SG,['поэте']
поэт,ESS,PL,['поэтах']
работник,ACC,SG,['работника']
работник,NOM,SG,['работник']
работник,NOM,PL,['работники']
работник,GEN,SG,['работника']
работник,GEN,PL,['работников']
работник,DAT,SG,['работнику']
работник,DAT,PL,['работникам']
работник,INS,SG,['работником']
работник,INS,PL,['работниками']
работник,ESS,SG,['работнике']
работник,ESS,PL,['работниках']
