base_word,voice,mood,person,tense,plurality,inflection
kutsua,ACT,IMP,2,PRS,SG,['kutsu']
kutsua,ACT,IMP,2,PRS,PL,['kutsukaa']
lisätä,ACT,IMP,2,PRS,SG,['lisää']
lisätä,ACT,IMP,2,PRS,PL,['lisätkää']
laittaa,ACT,IMP,2,PRS,SG,['laita']
laittaa,ACT,IMP,2,PRS,PL,['laittakaa']
jättää,ACT,IMP,2,PRS,SG,['jätä']
jättää,ACT,IMP,2,PRS,PL,['jättäkää']
jäädä,ACT,IMP,2,PRS,SG,['jää']
jäädä,ACT,IMP,2,PRS,PL,['jääkää']
antaa,ACT,IMP,2,PRS,SG,['anna']
antaa,ACT,IMP,2,PRS,PL,['antakaa']
varoittaa,ACT,IMP,2,PRS,SG,['varoita']
varoittaa,ACT,IMP,2,PRS,PL,['varoittakaa']
jatkaa,ACT,IMP,2,PRS,SG,['jatka']
jatkaa,ACT,IMP,2,PRS,PL,['jatkakaa']
