base_word,mood,plurality,tense,inflection
listen,IND,PL,PST,['listened']
listen,IMP,SG,,['listen']
listen,IMP,PL,,['listen']
stand,IND,SG,PRS,['stands']
stand,IND,PL,PRS,['stand']
stand,IND,SG,PST,['stood']
stand,IND,PL,PST,['stood']
stand,IMP,SG,,['stand']
stand,IMP,PL,,['stand']
pay,IND,SG,PRS,['pays']
pay,IND,PL,PRS,['pay']
pay,IND,SG,PST,['paid']
pay,IND,PL,PST,['paid']
pay,IMP,SG,,['pay']
pay,IMP,PL,,['pay']
rest,IND,SG,PRS,['rests']
rest,IND,PL,PRS,['rest']
rest,IND,SG,PST,['rested']
rest,IND,PL,PST,['rested']
rest,IMP,SG,,['rest']
rest,IMP,PL,,['rest']
leave,IND,SG,PRS,['leaves']
leave,IND,PL,PRS,['leave']
leave,IND,SG,PST,['left']
leave,IND,PL,PST,['left']
leave,IMP,SG,,['leave']
leave,IMP,PL,,['leave']
stay,IND,SG,PRS,['stays']
stay,IND,PL,PRS,['stay']
stay,IND,SG,PST,['stayed']
stay,IND,PL,PST,['stayed']
stay,IMP,SG,,['stay']
stay,IMP,PL,,['stay']
shine,IND,SG,PRS,['shines']
shine,IND,PL,PRS,['shine']
shine,IND,SG,PST,['shone']
shine,IND,PL,PST,['shone']
shine,IMP,SG,,['shine']
shine,IMP,PL,,['shine']
hurry,IND,SG,PRS,['hurries']
hurry,IND,PL,PRS,['hurry']
hurry,IND,SG,PST,['hurried']
hurry,IND,PL,PST,['hurried']
hurry,IMP,SG,,['hurry']
hurry,IMP,PL,,['hurry']
swim,IND,SG,PRS,['swims']
swim,IND,PL,PRS,['swim']
swim,IND,SG,PST,['swam']
swim,IND,PL,PST,['swam']
swim,IMP,SG,,['swim']
swim,IMP,PL,,['swim']
climb,IND,SG,PRS,['climbs']
climb,IND,PL,PRS,['climb']
climb,IND,SG,PST,['climbed']
climb,IND,PL,PST,['climbed']
climb,IMP,SG,,['climb']
climb,IMP,PL,,['climb']
talk,IND,SG,PRS,['talks']
talk,IND,PL,PRS,['talk']
talk,IND,SG,PST,['talked']
talk,IND,PL,PST,['talked']
talk,IMP,SG,,['talk']
talk,IMP,PL,,['talk']
