base_word,voice,mood,person,tense,gender,plurality,inflection
לישון,ACT,IND,3.0,PST,MASC,SG,['ישן'] 
לישון,ACT,IND,3.0,PST,FEM,SG,['ישנה'] 
לישון,ACT,IND,3.0,PST,MASC,PL,['ישנו']
לישון,ACT,IND,3.0,PST,FEM,PL,['ישנו']
לישון,ACT,IND,3.0,PRS,MASC,SG,['ישן']
לישון,ACT,IND,3.0,PRS,FEM,SG,['ישנה']
לישון,ACT,IND,3.0,PRS,MASC,PL,['ישנים']
לישון,ACT,IND,3.0,PRS,FEM,PL,['ישנות']
לדבר,,IMP,,,MASC,SG,['דבר'] 
לדבר,,IMP,,,MASC,PL,['דברו']
לדבר,,IMP,,,FEM,SG,['דברי']
לדבר,,IMP,,,FEM,PL,"['דברו', 'דברנה']"
לכתוב,,IMP,,,MASC,SG,['כתוב']
לכתוב,,IMP,,,MASC,PL,['כתבו']
לכתוב,,IMP,,,FEM,SG,['כתבי']
לכתוב,,IMP,,,FEM,PL,"['כתובנה', 'כתבו']"
לשתות,,IMP,,,MASC,SG,['שתה'] 
לשתות,,IMP,,,MASC,PL,['שתו'] 
לשתות,,IMP,,,FEM,SG,['שתי']
לשתות,,IMP,,,FEM,PL,"['שתו', 'שתינה']"
לקחת,,IMP,,,MASC,SG,['קח'] 
לקחת,,IMP,,,MASC,PL,['קחו'] 
לקחת,,IMP,,,FEM,SG,['קחי']
לקחת,,IMP,,,FEM,PL,"['קחו', 'קחנה']"
להיכנס,,IMP,,,MASC,SG,['היכנס']
להיכנס,,IMP,,,MASC,PL,['היכנסו']
להיכנס,,IMP,,,FEM,SG,['היכנסי']
להיכנס,,IMP,,,FEM,PL,"['היכנסנה', 'היכנסו']"
לפתוח,,IMP,,,MASC,SG,['פתח'] 
לפתוח,,IMP,,,MASC,PL,['פתחו']
לפתוח,,IMP,,,FEM,SG,['פתחי'] 
לפתוח,,IMP,,,FEM,PL,"['פתחנה', 'פתחו']"
לקרוא,,IMP,,,MASC,SG,['קרא'] 
לקרוא,,IMP,,,MASC,PL,['קראו'] 
לקרוא,,IMP,,,FEM,SG,['קראי'] 
לקרוא,,IMP,,,FEM,PL,"['קראנה', 'קראו']"
לאכול,,IMP,,,MASC,SG,['אכול']
לאכול,,IMP,,,MASC,PL,['אכלו']
לאכול,,IMP,,,FEM,SG,['אכלי'] 
לאכול,,IMP,,,FEM,PL,"['אכלו', 'אכולנה']"
לשאול,,IMP,,,MASC,SG,['שאל'] 
לשאול,,IMP,,,MASC,PL,['שאלו'] 
לשאול,,IMP,,,FEM,SG,['שאלי'] 
לשאול,,IMP,,,FEM,PL,"['שאלו', 'שאלנה']"
לחזור,,IMP,,,MASC,SG,['חזור'] 
לחזור,,IMP,,,MASC,PL,['חזרו'] 
לחזור,,IMP,,,FEM,SG,['חזרי'] 
לחזור,,IMP,,,FEM,PL,"['חזורנה', 'חזרו']"
לקום,,IMP,,,MASC,SG,['קום']
לקום,,IMP,,,MASC,PL,['קומו'] 
לקום,,IMP,,,FEM,SG,['קומי'] 
לקום,,IMP,,,FEM,PL,"['קומו', 'קומנה']" 
לשמוע,,IMP,,,MASC,SG,['שמע'] 
לשמוע,,IMP,,,MASC,PL,['שמעו'] 
לשמוע,,IMP,,,FEM,SG,['שמעי'] 
לשמוע,,IMP,,,FEM,PL,"['שמענה', 'שמעו']"
לחייך,,IMP,,,MASC,SG,['חייך']
לחייך,,IMP,,,MASC,PL,['חייכו']
לחייך,,IMP,,,FEM,SG,['חייכי']
לחייך,,IMP,,,FEM,PL,"['חייכו', 'חייכנה']"
לעזוב,,IMP,,,MASC,SG,['עזוב'] 
לעזוב,,IMP,,,MASC,PL,['עזבו'] 
לעזוב,,IMP,,,FEM,SG,['עזבי']
לעזוב,,IMP,,,FEM,PL,"['עזבו', 'עזובנה']" 
להישאר,,IMP,,,MASC,SG,['הישאר'] 
להישאר,,IMP,,,MASC,PL,['הישארו']
להישאר,,IMP,,,FEM,SG,['הישארי']
להישאר,,IMP,,,FEM,PL,"['הישארו', 'הישארנה']"
לעצור,,IMP,,,MASC,SG,['עצור']
לעצור,,IMP,,,MASC,PL,['עצרו']
לעצור,,IMP,,,FEM,SG,['עצרי']
לעצור,,IMP,,,FEM,PL,"['עצרו', 'עצורנה']"
לזהר,,IMP,,,MASC,SG,['היזהר']
לזהר,,IMP,,,MASC,PL,['היזהרו']
לזהר,,IMP,,,FEM,SG,['היזהרי']
לזהר,,IMP,,,FEM,PL,"['היזהרו', 'היזהרנה']"
להמשיך,,IMP,,,MASC,SG,['המשך'] 
להמשיך,,IMP,,,MASC,PL,['המשיכו']  
להמשיך,,IMP,,,FEM,SG,['המשיכי'] 
להמשיך,,IMP,,,FEM,PL,"['המשיכו','המשכנה']"
